,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Scottie Barnes,22.0,58,58.0,2040,434,913,0.475,99,286,0.346,335,627,0.534,0.53,195,248,0.786,136,341,477,353,71,87,159,115,1162
1,2.0,Dennis Schröder,30.0,51,33.0,1559,247,559,0.442,77,220,0.35,170,339,0.501,0.511,127,149,0.852,22,118,140,313,46,8,83,105,698
2,3.0,Gary Trent Jr.,25.0,53,23.0,1409,230,548,0.42,127,307,0.414,103,241,0.427,0.536,35,50,0.7,14,107,121,82,49,8,36,69,622
3,4.0,Pascal Siakam,29.0,39,39.0,1354,325,623,0.522,46,145,0.317,279,478,0.584,0.559,169,223,0.758,54,192,246,190,32,10,83,87,865
4,5.0,Jakob Poeltl,28.0,47,47.0,1250,232,350,0.663,0,0,,232,350,0.663,0.663,57,102,0.559,137,269,406,116,30,72,74,138,521
5,6.0,OG Anunoby,26.0,27,27.0,900,157,321,0.489,61,163,0.374,96,158,0.608,0.584,33,46,0.717,24,82,106,72,28,13,43,62,408
6,7.0,Immanuel Quickley,24.0,23,23.0,745,135,326,0.414,66,154,0.429,69,172,0.401,0.515,55,66,0.833,8,90,98,126,18,4,32,44,391
7,8.0,RJ Barrett,23.0,21,21.0,702,167,304,0.549,30,78,0.385,137,226,0.606,0.599,62,102,0.608,23,115,138,79,13,8,44,58,426
8,9.0,Chris Boucher,31.0,47,0.0,645,100,204,0.49,29,90,0.322,71,114,0.623,0.561,64,85,0.753,56,132,188,19,14,21,22,63,293
9,10.0,Gradey Dick,20.0,37,1.0,581,82,187,0.439,42,110,0.382,40,77,0.519,0.551,23,25,0.92,17,50,67,42,19,0,22,48,229
10,11.0,Malachi Flynn,25.0,31,0.0,474,56,137,0.409,28,80,0.35,28,57,0.491,0.511,17,22,0.773,13,52,65,73,18,6,33,42,157
11,12.0,Bruce Brown,27.0,17,5.0,438,61,134,0.455,9,33,0.273,52,101,0.515,0.489,23,23,1.0,15,52,67,38,13,8,16,34,154
12,13.0,Precious Achiuwa,24.0,25,0.0,437,78,170,0.459,13,47,0.277,65,123,0.528,0.497,24,42,0.571,50,86,136,44,16,12,29,40,193
13,14.0,Thaddeus Young,35.0,23,6.0,350,54,87,0.621,1,6,0.167,53,81,0.654,0.626,5,12,0.417,29,46,75,50,18,3,11,38,114
14,15.0,Jalen McDaniels,26.0,34,0.0,299,35,106,0.33,11,53,0.208,24,53,0.453,0.382,14,20,0.7,9,33,42,17,11,3,18,30,95
15,16.0,Jontay Porter,24.0,17,5.0,221,26,70,0.371,12,37,0.324,14,33,0.424,0.457,11,12,0.917,17,37,54,30,12,11,10,28,75
16,17.0,Otto Porter Jr.,30.0,15,1.0,174,14,33,0.424,8,23,0.348,6,10,0.6,0.545,3,3,1.0,6,23,29,8,5,5,2,19,39
17,18.0,Jordan Nwora,25.0,12,1.0,143,20,52,0.385,9,25,0.36,11,27,0.407,0.471,19,21,0.905,5,22,27,16,6,2,7,14,68
18,19.0,Kelly Olynyk,32.0,6,0.0,114,19,39,0.487,3,12,0.25,16,27,0.593,0.526,12,14,0.857,7,17,24,17,8,3,5,17,53
19,20.0,Ochai Agbaji,23.0,6,0.0,93,15,33,0.455,6,17,0.353,9,16,0.563,0.545,6,7,0.857,4,6,10,6,3,2,7,7,42
20,21.0,Garrett Temple,37.0,16,0.0,69,8,21,0.381,2,9,0.222,6,12,0.5,0.429,5,6,0.833,5,6,11,6,3,0,5,6,23
21,22.0,Mouhamadou Gueye,25.0,1,0.0,6,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,1,3,0,0,2,0,1,2
22,23.0,Markquis Nowell,24.0,1,0.0,4,0,1,0.0,0,0,,0,1,0.0,0.0,2,2,1.0,2,0,2,2,1,0,0,0,2
23,24.0,Ron Harper Jr.,23.0,1,0.0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0
24,25.0,Javon Freeman-Liberty,24.0,2,0.0,4,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,0,1,0,0,0,0,0,2
25,26.0,D.J. Carton,23.0,1,0.0,4,1,1,1.0,0,0,,1,1,1.0,1.0,1,1,1.0,0,1,1,0,0,0,0,2,3
26,27.0,Kira Lewis Jr.,22.0,1,0.0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
27,,,,58,,14020,2498,5225,0.478,679,1895,0.358,1819,3330,0.546,0.543,962,1281,0.751,656,1878,2534,1700,434,288,776,1070,6637
